Time Stamp (ns since boot),xGyro (rad/s),yGyro (rad/s),zGyro (rad/s), xAccel (g), yAccel (g), zAccel (g), xMag (uT), yMag (uT), zMag (uT), Temp (C), Roll (deg), Pitch (deg), Yaw (deg), Yaw Accuracy (deg)
1001886356757,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.021547815,9.830592,-35.13091,-2.674757,-75.04253,N/A,-2.3020658,0.14936857,88.48726,180.0
1001891354176,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.021547815,9.830592,-35.13091,-2.674757,-75.04253,N/A,-2.303726,0.14871582,88.48724,180.0
1001896353464,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.021547815,9.830592,-35.13091,-2.674757,-75.04253,N/A,-2.3037262,0.1487157,88.48724,180.0
1001901350700,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.021547815,9.830592,-35.13091,-2.674757,-75.04253,N/A,-2.3022335,0.1495759,88.487274,180.0
1001906351110,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.021547815,9.830592,-35.13091,-2.674757,-75.04253,N/A,-2.3022337,0.14957547,88.487274,180.0
1001911350945,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.021547815,9.830592,-35.13091,-2.674757,-75.04253,N/A,-2.3004336,0.14843221,88.48723,180.0
1001916352634,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.021547815,9.830592,-35.13091,-2.674757,-75.04253,N/A,-2.3004339,0.148432,88.48723,180.0
1001921351443,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.021547815,9.830592,-35.13091,-2.674757,-75.04253,N/A,-2.2990294,0.14964521,88.487274,180.0
1001926351399,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.021547815,9.830592,-35.13091,-2.674757,-75.04253,N/A,-2.2990296,0.14964499,88.487274,180.0
1001931349328,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2995453,0.14908335,88.487274,180.0
1001936349243,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2995453,0.14908314,88.487274,180.0
1001941347159,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.3005,0.14793567,88.48721,180.0
1001946347059,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.3005002,0.14793546,88.48721,180.0
1001951344971,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.299348,0.14915007,88.48726,180.0
1001956344510,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2993484,0.14914966,88.48726,180.0
1001961341857,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2996023,0.14934064,88.487274,180.0
1001966341113,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2996025,0.14934064,88.487274,180.0
1001971338721,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2985592,0.14768854,88.4872,180.0
1001976339359,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2985592,0.14768833,88.4872,180.0
1001981337651,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2980678,0.1467411,88.48717,180.0
1001986337736,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2980678,0.1467409,88.48715,180.0
1001991335766,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2975419,0.14662997,88.48715,180.0
1001996335776,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2975419,0.14662965,88.48715,180.0
1002001333787,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2986581,0.14685203,88.48717,180.0
1002006333793,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2986581,0.14685181,88.48717,180.0
1002011331815,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2967389,0.14573239,88.48714,180.0
1002016332632,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.296739,0.14573185,88.48712,180.0
1002021331032,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2962122,0.146645,88.48715,180.0
1002026330842,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2962122,0.14664477,88.48715,180.0
1002031328367,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2958267,0.14621645,88.48715,180.0
1002036327756,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2958267,0.14621611,88.48714,180.0
1002041325070,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2958863,0.14678724,88.48717,180.0
1002046325570,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2958865,0.14678691,88.48717,180.0
1002051323899,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2947052,0.14716884,88.48718,180.0
